source_target_gene,n_cells
PGD,79
PGK1,101
PGPEP1,28
PGS1,61
PHAX,192
PHB,55
PHB2,41
PHF5A,129
PHF10,136
PHF12,83
PI4KA,174
PIAS1,60
PIAS4,31
PIGH,57
PIK3C3,62
PIK3R4,65
PIP4K2C,54
PITRM1,104
PKM,206
PKMYT1,100
PLA2G10,98
PLEKHN1,68
PLK1,51
PLK4,240
PLRG1,18
PMF1,149
PMPCA,98
PMPCB,294
PNISR,155
PNKP,84
PNN,94
PNO1,118
PNPT1,131
POGLUT3,979
POGZ,112
POLA1,21
POLA2,41
POLD1,38
POLD2,89
POLD3,75
POLE,13
POLE2,23
POLG,82
POLG2,90
POLL,89
POLR1A,68
POLR1B,51
POLR1C,312
POLR1D,78
POLR1E,260
POLR2A,16
POLR2B,43
POLR2C,14
POLR2D,106
POLR2E,24
POLR2F,48
POLR2G,9
POLR2H,14
POLR2I,128
POLR2K,30
POLR2L,39
POLR2M,107
POLR3A,11
POLR3B,65
POLR3C,74
POLR3D,39
POLR3E,91
POLR3F,41
POLR3H,53
POLR3K,23
POLRMT,190
POP1,88
POP4,132
POP5,210
POP7,118
POT1,17
POTEI,70
POU3F1,250
POU5F1B,166
PPA1,134
PPA2,92
PPAN,142
PPARGC1B,131
PPIA,140
PPIE,42
PPIH,73
PPIL1,112
PPIL2,45
PPIL4,85
PPME1,146
PPP1CA,146
PPP1CB,82
PPP1R2,99
PPP1R7,75
PPP1R8,84
PPP1R10,45
PPP1R11,94
PPP1R12A,112
PPP1R15B,34
PPP1R37,478
PPP2CA,286
PPP2CB,168
PPP2R1A,529
PPP2R3C,76
PPP4C,48
PPP4R2,83
PPP6C,1186
PPRC1,75
PPWD1,20
PPY,91
PRC1,47
PRDM4,89
PRDM8,48
PRDM10,88
PREB,57
PRELID1,62
PRELID3B,37
PRIM1,24
PRIM2,8
PRKCA,38
PRKRA,35
PRKRIP1,170
PRMT1,53
PRMT5,259
PRODH,247
PRORP,98
PRPF3,39
PRPF4,28
PRPF4B,44
PRPF6,37
PRPF8,47
PRPF18,57
PRPF19,50
PRPF31,47
PRPF38A,72
PRPF38B,22
PRPF39,146
PRPF40A,49
PRRC2A,102
PRSS50,157
PRXL2A,72
PSAT1,122
PSMA1,16
PSMA2,18
PSMA3,36
PSMA4,47
PSMA5,4
PSMA6,17
PSMA7,14
PSMB1,25
PSMB2,40
PSMB3,52
PSMB4,61
PSMB5,1243
PSMB6,117
PSMB7,28
PSMC1,33
PSMC2,28
PSMC3,21
PSMC4,20
PSMC5,77
PSMC6,20
PSMD1,15
PSMD2,13
PSMD3,4
PSMD4,67
PSMD6,27
PSMD7,22
PSMD8,49
PSMD9,68
PSMD11,19
PSMD12,25
PSMD13,70
PSMD14,50
PSME1,65
PSME2,110
PSMG1,52
PSMG2,97
PSMG3,277
PSMG4,42
PSTK,302
PTBP1,61
PTCD1,73
PTCD3,31
PTEN,145
PTGR2,94
PTK2,123
PTMA,199
PTPMT1,104
PTPN1,136
PTPN11,135
PTPN23,51
PUF60,19
PUM1,105
PWP1,66
PWP2,110
PXN,89
PYROXD1,145
PYURF,85
QARS,113
QRSL1,112
RAB4A,171
RAB4B,155
RAB6A,116
RAB18,108
RABGGTA,172
RABGGTB,141
RAC1,109
RAC3,292
RACGAP1,2
RACK1,33
RAD9A,134
RAD17,29
RAD21,29
RAD51,36
RAD51C,106
RAD51D,115
RAE1,29
RAMAC,94
RAN,53
RANBP2,7
RANGAP1,17
RARS,101
RARS2,190
RBBP4,39
RBBP5,135
RBBP6,18
RBBP8,52
RBM4,29
RBM8A,25
RBM10,88
RBM12,35
RBM14-RBM4,245
RBM15,134
RBM17,21
RBM19,52
RBM22,8
RBM25,60
RBM28,148
RBM33,149
RBM39,20
RBM42,31
RBM48,126
RBMX,18
RBMX2,150
RBMXL1,66
RBX1,88
RCC1,145
RCCD1,59
RCL1,199
RCOR1,49
RELL2,42
REV3L,90
REXO2,63
RFC1,29
RFC2,49
RFC3,43
RFC4,36
RFC5,54
RFFL,15
RFT1,55
RGP1,79
RGPD6,282
RHOQ,313
RHPN1,150
RINT1,122
RIOK1,177
RIOK2,66
RMI1,87
RNASEH2C,287
RNF4,64
RNF8,257
RNF14,165
RNF20,131
RNF31,87
RNF40,52
RNF103,87
RNF113A,59
RNF123,180
RNF168,39
RNGTT,62
RNMT,82
RNPC3,33
RNPS1,74
ROMO1,24
RPA1,48
RPA2,46
RPA3,85
RPAIN,16
RPAP1,110
RPAP2,22
RPAP3,73
RPE,68
RPF1,80
RPF2,25
RPIA,38
RPL3,60
RPL4,63
RPL5,60
RPL6,90
RPL7,146
RPL7A,2
RPL7L1,76
RPL8,75
RPL9,50
RPL10,59
RPL10A,113
RPL11,46
RPL12,75
RPL13,72
RPL13A,85
RPL14,37
RPL15,27
RPL17,51
RPL18,63
RPL18A,61
RPL19,28
RPL21,64
RPL23,88
RPL23A,60
RPL24,52
RPL26,151
RPL26L1,70
RPL27,5
RPL27A,39
RPL28,108
RPL29,82
RPL30,43
RPL31,37
RPL32,127
RPL34,51
RPL35,85
RPL35A,139
RPL36,111
RPL36A,244
RPL36AL,51
RPL37,44
RPL37A,68
RPL38,35
RPL39,170
RPL41,230
RPLP0,77
RPLP1,26
RPLP2,81
RPN1,106
RPN2,47
RPP14,224
RPP21,198
RPP30,148
RPP38,43
RPP40,93
RPRD1B,98
RPS2,126
RPS3,101
RPS3A,120
RPS4X,89
RPS5,44
RPS6,137
RPS7,82
RPS8,130
RPS9,121
RPS10,91
RPS10-NUDT3,109
RPS11,67
RPS12,70
RPS13,290
RPS14,115
RPS15,123
RPS15A,74
RPS16,18
RPS17,67
RPS18,106
RPS19,140
RPS19BP1,108
RPS20,106
RPS21,68
RPS23,69
RPS24,87
RPS25,72
RPS26,55
RPS27,64
RPS27A,190
RPS28,68
RPS29,171
RPSA,76
RPTOR,53
RPUSD3,77
RPUSD4,94
RRM1,3
RRM2,40
RRN3,86
RRP1,118
RRP7A,130
RRP9,165
RRP12,127
RRP15,86
RRS1,156
RSL1D1,274
RSL24D1,55
RSRC2,43
RTCB,85
RTEL1,168
RTF1,47
RTRAF,183
RTTN,76
RUVBL1,26
RUVBL2,8
S100A1,65
SACM1L,91
SAE1,53
SAMD4B,113
SAMM50,52
SAP18,62
SAP30BP,22
SAP130,32
SARNP,66
SARS,22
SARS2,83
SART1,70
