target_gene,H1,K562,RPE1,HepG2,Jurkat,A549,MCF7,HT29,HAP1,BxPC3,A172,T98G,U87MG,HCT116,HEK293T,KOLF2.1J,CD4T
ACYP2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADA2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAD2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAL,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAM10,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ADAM11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAM12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAM15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAM17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAM18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAM2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAM23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAM28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAM29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAM7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAM8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAM9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAMDEC1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAMTS10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAMTS12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAMTS14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAMTS16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAMTS17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAMTS18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAMTS5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTS6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAMTS7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAMTS8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADAMTS9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTSL1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTSL3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAMTSL4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ADAMTSL5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADAR,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
ADARB1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADARB2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADAT1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADAT2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ADAT3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
ADCK1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
ADCK2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ADCK3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
ADCK4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
ADCK5,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ADCY1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADCY10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADCY2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADCY3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADCY4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ADCY5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADCY6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADCY7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADCY8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADCY9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADCYAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADCYAP1R1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADD1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
